Date,Open,High,Low,Close,Adj Close,Volume
2011-03-04,4887360.000000,5102400.000000,4887360.000000,5007360.000000,4606006.500000,1
2011-03-07,4895040.000000,5576640.000000,4895040.000000,5424960.000000,4990133.500000,3
2011-03-08,5389440.000000,5555520.000000,5232000.000000,5392320.000000,4960111.000000,2
2011-03-09,5472960.000000,5911680.000000,5472960.000000,5877120.000000,5406053.000000,3
2011-03-10,6192000.000000,6352320.000000,6066240.000000,6314880.000000,5808724.500000,3
2011-03-11,6412800.000000,6453120.000000,6085440.000000,6147840.000000,5655074.000000,2
2011-03-14,6211200.000000,6278400.000000,5934720.000000,6170880.000000,5676267.000000,2
2011-03-15,6737280.000000,6950400.000000,6264960.000000,6385920.000000,5874071.500000,3
2011-03-16,6507840.000000,6956160.000000,6168960.000000,6807360.000000,6261732.000000,3
2011-03-17,6509760.000000,6632640.000000,6301440.000000,6547200.000000,6022423.500000,2
2011-03-18,6221760.000000,6563520.000000,6215040.000000,6507840.000000,5986219.500000,2
2011-03-21,6220800.000000,6304320.000000,6007680.000000,6139200.000000,5647126.500000,2
2011-03-22,6149760.000000,6242880.000000,6084480.000000,6220800.000000,5789633.500000,1
2011-03-23,6253440.000000,6411840.000000,6017280.000000,6048960.000000,5629704.000000,2
2011-03-24,5812800.000000,5914560.000000,5557440.000000,5606400.000000,5217816.500000,2
2011-03-25,5571840.000000,5649600.000000,5461440.000000,5635200.000000,5244621.000000,2
2011-03-28,5549760.000000,5639040.000000,5469120.000000,5610240.000000,5221392.500000,1
2011-03-29,5635200.000000,5782080.000000,5457600.000000,5457600.000000,5079332.000000,2
2011-03-30,5304960.000000,5567040.000000,5298240.000000,5449920.000000,5072183.500000,2
2011-03-31,5445120.000000,5642880.000000,5414400.000000,5577600.000000,5191013.500000,2
2011-04-01,5439360.000000,5832000.000000,5439360.000000,5769600.000000,5369706.000000,2
2011-04-04,5733120.000000,6024000.000000,5705280.000000,5920320.000000,5509980.000000,2
2011-04-05,5627520.000000,5649600.000000,5386560.000000,5502720.000000,5121324.000000,3
2011-04-06,5363520.000000,5428800.000000,5251200.000000,5256960.000000,4892598.000000,3
2011-04-07,5260800.000000,5496960.000000,5257920.000000,5343360.000000,4973009.000000,3
2011-04-08,5225280.000000,5536320.000000,5192640.000000,5465280.000000,5086480.000000,2
